similarity(%)	image name	time and date
0 %	unnamed-1.jpg	23/03/2019 21:28:28
similarity(%)	image name	time and date
8 %	sherlock.jpg	23/03/2019 21:29:02
3 %	life.JPEG	23/03/2019 21:29:02
0 %	likeblack.jpg	23/03/2019 21:29:02
0 %	rose.jpg	23/03/2019 21:29:02
0 %	arabic.jpg	23/03/2019 21:29:02
0 %	the_100.jpg	23/03/2019 21:29:02
0 %	butterfly.jpg	23/03/2019 21:29:02
0 %	malcomx.jpg	23/03/2019 21:29:02
0 %	prayer.jpg	23/03/2019 21:29:02
0 %	unnamed.jpg	23/03/2019 21:29:02
0 %	madam.jpg	23/03/2019 21:29:02
0 %	memory.jpg	23/03/2019 21:29:02
0 %	condame.jpg	23/03/2019 21:29:02
0 %	unnamed-1.jpg	23/03/2019 21:29:02
similarity(%)	image name	time and date
3 %	sherlock.jpg	23/03/2019 21:30:08
1 %	life.JPEG	23/03/2019 21:30:08
1 %	madam.jpg	23/03/2019 21:30:08
0 %	likeblack.jpg	23/03/2019 21:30:08
0 %	rose.jpg	23/03/2019 21:30:08
0 %	arabic.jpg	23/03/2019 21:30:08
0 %	the_100.jpg	23/03/2019 21:30:08
0 %	butterfly.jpg	23/03/2019 21:30:08
0 %	malcomx.jpg	23/03/2019 21:30:08
0 %	prayer.jpg	23/03/2019 21:30:08
0 %	unnamed.jpg	23/03/2019 21:30:08
0 %	memory.jpg	23/03/2019 21:30:08
0 %	condame.jpg	23/03/2019 21:30:08
0 %	unnamed-1.jpg	23/03/2019 21:30:08
similarity(%)	image name	time and date
97 %	sherlock.jpg	23/03/2019 21:31:49
6 %	life.JPEG	23/03/2019 21:31:49
2 %	condame.jpg	23/03/2019 21:31:49
2 %	unnamed-1.jpg	23/03/2019 21:31:49
1 %	likeblack.jpg	23/03/2019 21:31:49
1 %	rose.jpg	23/03/2019 21:31:49
1 %	butterfly.jpg	23/03/2019 21:31:49
1 %	madam.jpg	23/03/2019 21:31:49
0 %	arabic.jpg	23/03/2019 21:31:49
0 %	the_100.jpg	23/03/2019 21:31:49
0 %	malcomx.jpg	23/03/2019 21:31:49
0 %	prayer.jpg	23/03/2019 21:31:49
0 %	unnamed.jpg	23/03/2019 21:31:49
0 %	memory.jpg	23/03/2019 21:31:49
similarity(%)	image name	time and date
5 %	life.JPEG	23/03/2019 21:33:00
21 %	rose.jpg	23/03/2019 21:33:00
2 %	unnamed-1.jpg	23/03/2019 21:33:00
1 %	butterfly.jpg	23/03/2019 21:33:00
1 %	condame.jpg	23/03/2019 21:33:00
0 %	likeblack.jpg	23/03/2019 21:33:00
0 %	arabic.jpg	23/03/2019 21:33:00
0 %	the_100.jpg	23/03/2019 21:33:00
0 %	malcomx.jpg	23/03/2019 21:33:00
0 %	prayer.jpg	23/03/2019 21:33:00
0 %	unnamed.jpg	23/03/2019 21:33:00
0 %	sherlock.jpg	23/03/2019 21:33:00
0 %	madam.jpg	23/03/2019 21:33:00
0 %	memory.jpg	23/03/2019 21:33:00
similarity(%)	image name	time and date
99 %	rose.jpg	23/03/2019 21:34:20
3 %	life.JPEG	23/03/2019 21:34:20
2 %	unnamed-1.jpg	23/03/2019 21:34:20
0 %	likeblack.jpg	23/03/2019 21:34:20
0 %	arabic.jpg	23/03/2019 21:34:20
0 %	the_100.jpg	23/03/2019 21:34:20
0 %	butterfly.jpg	23/03/2019 21:34:20
0 %	malcomx.jpg	23/03/2019 21:34:20
0 %	prayer.jpg	23/03/2019 21:34:20
0 %	unnamed.jpg	23/03/2019 21:34:20
0 %	sherlock.jpg	23/03/2019 21:34:20
0 %	madam.jpg	23/03/2019 21:34:20
0 %	memory.jpg	23/03/2019 21:34:20
0 %	condame.jpg	23/03/2019 21:34:20
similarity(%)	image name	time and date
7 %	life.JPEG	23/03/2019 21:35:05
25 %	prayer.jpg	23/03/2019 21:35:05
2 %	butterfly.jpg	23/03/2019 21:35:05
2 %	unnamed-1.jpg	23/03/2019 21:35:05
1 %	likeblack.jpg	23/03/2019 21:35:05
1 %	rose.jpg	23/03/2019 21:35:05
1 %	madam.jpg	23/03/2019 21:35:05
1 %	condame.jpg	23/03/2019 21:35:05
0 %	arabic.jpg	23/03/2019 21:35:05
0 %	the_100.jpg	23/03/2019 21:35:05
0 %	malcomx.jpg	23/03/2019 21:35:05
0 %	unnamed.jpg	23/03/2019 21:35:05
0 %	sherlock.jpg	23/03/2019 21:35:05
0 %	memory.jpg	23/03/2019 21:35:05
similarity(%)	image name	time and date
32 %	prayer.jpg	23/03/2019 21:35:52
0 %	likeblack.jpg	23/03/2019 21:35:52
0 %	rose.jpg	23/03/2019 21:35:52
0 %	arabic.jpg	23/03/2019 21:35:52
0 %	the_100.jpg	23/03/2019 21:35:52
0 %	butterfly.jpg	23/03/2019 21:35:52
0 %	malcomx.jpg	23/03/2019 21:35:52
0 %	life.JPEG	23/03/2019 21:35:52
0 %	unnamed.jpg	23/03/2019 21:35:52
0 %	sherlock.jpg	23/03/2019 21:35:52
0 %	madam.jpg	23/03/2019 21:35:52
0 %	memory.jpg	23/03/2019 21:35:52
0 %	condame.jpg	23/03/2019 21:35:52
0 %	unnamed-1.jpg	23/03/2019 21:35:52
similarity(%)	image name	time and date
3 %	butterfly.jpg	23/03/2019 21:36:39
2 %	rose.jpg	23/03/2019 21:36:39
2 %	condame.jpg	23/03/2019 21:36:39
18 %	prayer.jpg	23/03/2019 21:36:39
13 %	life.JPEG	23/03/2019 21:36:39
1 %	likeblack.jpg	23/03/2019 21:36:39
1 %	unnamed.jpg	23/03/2019 21:36:39
1 %	madam.jpg	23/03/2019 21:36:39
1 %	memory.jpg	23/03/2019 21:36:39
1 %	unnamed-1.jpg	23/03/2019 21:36:39
0 %	arabic.jpg	23/03/2019 21:36:39
0 %	the_100.jpg	23/03/2019 21:36:39
0 %	malcomx.jpg	23/03/2019 21:36:39
0 %	sherlock.jpg	23/03/2019 21:36:39
similarity(%)	image name	time and date
6 %	life.JPEG	23/03/2019 21:38:32
3 %	butterfly.jpg	23/03/2019 21:38:32
3 %	unnamed-1.jpg	23/03/2019 21:38:32
2 %	condame.jpg	23/03/2019 21:38:32
18 %	prayer.jpg	23/03/2019 21:38:32
1 %	likeblack.jpg	23/03/2019 21:38:32
1 %	rose.jpg	23/03/2019 21:38:32
1 %	memory.jpg	23/03/2019 21:38:32
0 %	arabic.jpg	23/03/2019 21:38:32
0 %	the_100.jpg	23/03/2019 21:38:32
0 %	malcomx.jpg	23/03/2019 21:38:32
0 %	unnamed.jpg	23/03/2019 21:38:32
0 %	sherlock.jpg	23/03/2019 21:38:32
0 %	madam.jpg	23/03/2019 21:38:32
similarity(%)	image name	time and date
5 %	arabic.jpg	23/03/2019 21:39:43
5 %	butterfly.jpg	23/03/2019 21:39:43
4 %	life.JPEG	23/03/2019 21:39:43
3 %	likeblack.jpg	23/03/2019 21:39:43
26 %	memory.jpg	23/03/2019 21:39:43
1 %	malcomx.jpg	23/03/2019 21:39:43
1 %	unnamed-1.jpg	23/03/2019 21:39:43
0 %	rose.jpg	23/03/2019 21:39:43
0 %	the_100.jpg	23/03/2019 21:39:43
0 %	prayer.jpg	23/03/2019 21:39:43
0 %	unnamed.jpg	23/03/2019 21:39:43
0 %	sherlock.jpg	23/03/2019 21:39:43
0 %	madam.jpg	23/03/2019 21:39:43
0 %	condame.jpg	23/03/2019 21:39:43
similarity(%)	image name	time and date
4 %	arabic.jpg	23/03/2019 21:41:33
4 %	butterfly.jpg	23/03/2019 21:41:33
3 %	condame.jpg	23/03/2019 21:41:33
20 %	memory.jpg	23/03/2019 21:41:33
12 %	life.JPEG	23/03/2019 21:41:33
1 %	likeblack.jpg	23/03/2019 21:41:33
1 %	rose.jpg	23/03/2019 21:41:33
1 %	prayer.jpg	23/03/2019 21:41:33
1 %	unnamed-1.jpg	23/03/2019 21:41:33
0 %	the_100.jpg	23/03/2019 21:41:33
0 %	malcomx.jpg	23/03/2019 21:41:33
0 %	unnamed.jpg	23/03/2019 21:41:33
0 %	sherlock.jpg	23/03/2019 21:41:33
